start,low,high,open,close,volume,timestamp
1616083200,1.34,1.88,1.6551,1.3559,59202890.72,2021-03-18 16:00:00
1616086800,1.239,1.3841,1.3559,1.2902,18285726.93,2021-03-18 17:00:00
1616090400,1.2721,1.318,1.2902,1.2751,9264203.38,2021-03-18 18:00:00
1616094000,1.2327,1.289,1.2773,1.2589,7330106.37,2021-03-18 19:00:00
1616097600,1.2556,1.2957,1.2589,1.2663,6385097.17,2021-03-18 20:00:00
1616101200,1.263,1.2974,1.2664,1.277,3146716.3,2021-03-18 21:00:00
1616104800,1.2301,1.2853,1.277,1.2357,4929922.35,2021-03-18 22:00:00
1616108400,1.2155,1.25,1.2378,1.23,3840201.45,2021-03-18 23:00:00
1616112000,1.1808,1.241,1.2311,1.2317,7575779.8,2021-03-19 00:00:00
1616115600,1.2187,1.2499,1.2317,1.2475,3364699.6,2021-03-19 01:00:00
1616119200,1.21,1.2485,1.2477,1.2134,4024474.37,2021-03-19 02:00:00
1616122800,1.214,1.2378,1.214,1.2363,1945753.26,2021-03-19 03:00:00
1616126400,1.22,1.2372,1.2361,1.2221,1583868.63,2021-03-19 04:00:00
1616130000,1.2217,1.2645,1.2221,1.2645,1876007.52,2021-03-19 05:00:00
1616133600,1.2354,1.2649,1.2645,1.2422,1721219.87,2021-03-19 06:00:00
1616137200,1.2418,1.2677,1.2425,1.2641,1277693.24,2021-03-19 07:00:00
1616140800,1.2578,1.2892,1.2648,1.2699,2165146.39,2021-03-19 08:00:00
1616144400,1.2463,1.2757,1.2696,1.2502,1404884.73,2021-03-19 09:00:00
1616148000,1.2348,1.2629,1.2503,1.2629,978246.76,2021-03-19 10:00:00
1616151600,1.2533,1.264,1.2629,1.2597,670031.95,2021-03-19 11:00:00
1616155200,1.2597,1.301,1.26,1.29,3125070.53,2021-03-19 12:00:00
1616158800,1.27,1.2899,1.2899,1.27,2534511.58,2021-03-19 13:00:00
1616162400,1.2605,1.2876,1.2714,1.2844,1631861.69,2021-03-19 14:00:00
1616166000,1.2705,1.2865,1.2844,1.2815,1790483.85,2021-03-19 15:00:00
1616169600,1.2521,1.2841,1.2813,1.2544,2162035.84,2021-03-19 16:00:00
1616173200,1.2515,1.2699,1.2544,1.2677,1994077.3,2021-03-19 17:00:00
1616176800,1.265,1.3296,1.2673,1.3089,19209408.87,2021-03-19 18:00:00
1616180400,1.299,1.355,1.3089,1.3432,24555703.7,2021-03-19 19:00:00
1616184000,1.307,1.363,1.3459,1.3486,22906529.06,2021-03-19 20:00:00
1616187600,1.3342,1.396,1.3485,1.3364,27042308.75,2021-03-19 21:00:00
1616191200,1.323,1.3697,1.3393,1.3583,16612634.42,2021-03-19 22:00:00
1616194800,1.2946,1.3594,1.3567,1.3076,14506075.84,2021-03-19 23:00:00
1616198400,1.3007,1.345,1.3065,1.3128,11131725.19,2021-03-20 00:00:00
1616202000,1.285,1.326,1.3128,1.2948,10119534.29,2021-03-20 01:00:00
1616205600,1.28,1.2974,1.2948,1.2912,8885727.46,2021-03-20 02:00:00
1616209200,1.2701,1.2927,1.2906,1.2743,6912521.22,2021-03-20 03:00:00
1616212800,1.2572,1.275,1.2743,1.2608,7030354.96,2021-03-20 04:00:00
1616216400,1.2564,1.2765,1.2622,1.2665,5330204.62,2021-03-20 05:00:00
1616220000,1.2533,1.2688,1.2655,1.2597,3755493.8,2021-03-20 06:00:00
1616223600,1.2522,1.27,1.2597,1.2639,3123882.44,2021-03-20 07:00:00
1616227200,1.2581,1.281,1.2639,1.2759,2739233.95,2021-03-20 08:00:00
1616230800,1.2628,1.2775,1.276,1.2655,2142182.81,2021-03-20 09:00:00
1616234400,1.2646,1.2768,1.2655,1.2706,2078154.14,2021-03-20 10:00:00
1616238000,1.265,1.2718,1.2702,1.2683,2665190.71,2021-03-20 11:00:00
1616241600,1.256,1.2711,1.2671,1.2651,3913250.56,2021-03-20 12:00:00
1616245200,1.2533,1.2719,1.2651,1.2547,5110291.07,2021-03-20 13:00:00
1616248800,1.2516,1.2649,1.2547,1.2635,3695269.99,2021-03-20 14:00:00
1616252400,1.2544,1.265,1.2635,1.2582,4021140.39,2021-03-20 15:00:00
1616256000,1.23,1.2589,1.2582,1.2318,7510048.7,2021-03-20 16:00:00
1616259600,1.2307,1.2495,1.2318,1.2445,5293616.38,2021-03-20 17:00:00
1616263200,1.2384,1.2464,1.2445,1.2403,4408019.05,2021-03-20 18:00:00
1616266800,1.24,1.2565,1.2402,1.2508,4357035.4,2021-03-20 19:00:00
1616270400,1.221,1.2535,1.2508,1.2341,5205964.36,2021-03-20 20:00:00
1616274000,1.23,1.2463,1.2341,1.2368,3306483.18,2021-03-20 21:00:00
1616277600,1.2177,1.2385,1.2368,1.2277,4364471.24,2021-03-20 22:00:00
1616281200,1.2001,1.2277,1.2277,1.2013,4342234.61,2021-03-20 23:00:00
1616284800,1.189,1.2332,1.2013,1.2249,6118586.47,2021-03-21 00:00:00
1616288400,1.2193,1.2463,1.2249,1.232,4255107.49,2021-03-21 01:00:00
1616292000,1.2033,1.2326,1.232,1.2118,3053438.79,2021-03-21 02:00:00
1616295600,1.2091,1.2285,1.2101,1.2257,2367979.3,2021-03-21 03:00:00
1616299200,1.1998,1.2256,1.2255,1.2033,2379560.8,2021-03-21 04:00:00
1616302800,1.1961,1.212,1.2032,1.2036,2079358.32,2021-03-21 05:00:00
1616306400,1.198,1.2137,1.2045,1.2044,1313257.24,2021-03-21 06:00:00
1616310000,1.2032,1.2147,1.2044,1.2143,983689.61,2021-03-21 07:00:00
1616313600,1.2112,1.2224,1.2141,1.2154,661447.98,2021-03-21 08:00:00
1616317200,1.1923,1.2179,1.2154,1.1983,1214079.13,2021-03-21 09:00:00
1616320800,1.1889,1.2054,1.1977,1.1931,1565829.14,2021-03-21 10:00:00
1616324400,1.18,1.1947,1.1925,1.1856,1736998.26,2021-03-21 11:00:00
1616328000,1.1607,1.1856,1.1853,1.1784,3277486.34,2021-03-21 12:00:00
1616331600,1.1783,1.2073,1.1784,1.2,3008047.81,2021-03-21 13:00:00
1616335200,1.1977,1.2129,1.2,1.2105,2235551.04,2021-03-21 14:00:00
1616338800,1.2004,1.2221,1.2112,1.2057,2082202.91,2021-03-21 15:00:00
1616342400,1.1957,1.2139,1.2057,1.2011,2153387.5,2021-03-21 16:00:00
1616346000,1.1987,1.21,1.2015,1.2082,2324235.22,2021-03-21 17:00:00
1616349600,1.2063,1.2183,1.2082,1.2138,1687246.57,2021-03-21 18:00:00
1616353200,1.1987,1.2152,1.2143,1.2019,2245909.26,2021-03-21 19:00:00
1616356800,1.1933,1.2052,1.2024,1.1988,2067817.17,2021-03-21 20:00:00
1616360400,1.198,1.2098,1.198,1.2043,2611628.82,2021-03-21 21:00:00
1616364000,1.195,1.2059,1.2042,1.1951,2108159.05,2021-03-21 22:00:00
1616367600,1.1875,1.2,1.1951,1.1885,2061638.85,2021-03-21 23:00:00
1616371200,1.163,1.1891,1.1885,1.1692,3986005.41,2021-03-22 00:00:00
1616374800,1.1647,1.1783,1.1692,1.1783,2435868.39,2021-03-22 01:00:00
1616378400,1.17,1.195,1.1782,1.1921,4270521.22,2021-03-22 02:00:00
1616382000,1.1885,1.2022,1.1921,1.1929,2225296.21,2021-03-22 03:00:00
1616385600,1.1917,1.2011,1.1932,1.198,1404083.28,2021-03-22 04:00:00
1616389200,1.1922,1.2035,1.198,1.1966,1457692.96,2021-03-22 05:00:00
1616392800,1.1957,1.2066,1.1966,1.2037,1959381.1,2021-03-22 06:00:00
1616396400,1.193,1.2076,1.2037,1.1957,1656994.17,2021-03-22 07:00:00
1616400000,1.176,1.1958,1.1958,1.1783,1280403.42,2021-03-22 08:00:00
1616403600,1.1734,1.1868,1.1782,1.1866,1128510.97,2021-03-22 09:00:00
1616407200,1.1858,1.2021,1.1866,1.1936,1250182.28,2021-03-22 10:00:00
1616410800,1.1891,1.2002,1.1942,1.1913,1390774.37,2021-03-22 11:00:00
1616414400,1.175,1.1914,1.1913,1.1853,3028098.11,2021-03-22 12:00:00
1616418000,1.1706,1.1889,1.1852,1.1844,3072369.27,2021-03-22 13:00:00
1616421600,1.1767,1.1907,1.1844,1.1832,2588317.2,2021-03-22 14:00:00
1616425200,1.1794,1.1856,1.1832,1.1814,2132991.96,2021-03-22 15:00:00
1616428800,1.1705,1.1849,1.1814,1.1775,3189602.9,2021-03-22 16:00:00
1616432400,1.1726,1.1811,1.1769,1.1796,3352070.96,2021-03-22 17:00:00
1616436000,1.165,1.1802,1.1793,1.1692,3082729.06,2021-03-22 18:00:00
1616439600,1.1434,1.1698,1.1692,1.1523,5267017.35,2021-03-22 19:00:00
1616443200,1.07,1.1557,1.1528,1.1031,10751059.71,2021-03-22 20:00:00
1616446800,1.0878,1.136,1.1041,1.1186,7829044.38,2021-03-22 21:00:00
1616450400,1.0904,1.1214,1.1186,1.1171,7105963.67,2021-03-22 22:00:00
1616454000,1.1013,1.1233,1.1173,1.1027,4405005.46,2021-03-22 23:00:00
1616457600,1.0939,1.1267,1.1027,1.1233,5969560.25,2021-03-23 00:00:00
1616461200,1.1205,1.1543,1.1233,1.1476,4816893.32,2021-03-23 01:00:00
1616464800,1.1287,1.1485,1.1468,1.1329,2368975.07,2021-03-23 02:00:00
1616468400,1.1222,1.1338,1.1329,1.13,2284806.13,2021-03-23 03:00:00
1616472000,1.1137,1.1371,1.13,1.1225,3185226.48,2021-03-23 04:00:00
1616475600,1.1026,1.1252,1.1227,1.1088,2997154.11,2021-03-23 05:00:00
1616479200,1.0825,1.1088,1.1088,1.0838,3573711.23,2021-03-23 06:00:00
1616482800,1.082,1.1304,1.0838,1.1296,4920871.05,2021-03-23 07:00:00
1616486400,1.1161,1.1379,1.1285,1.1356,1329532.91,2021-03-23 08:00:00
1616490000,1.1271,1.1384,1.1355,1.1381,1003148.67,2021-03-23 09:00:00
1616493600,1.132,1.145,1.1375,1.1388,1199815.89,2021-03-23 10:00:00
1616497200,1.1241,1.1474,1.1388,1.1268,1585007.24,2021-03-23 11:00:00
1616500800,1.1267,1.162,1.1282,1.162,1987121.19,2021-03-23 12:00:00
1616504400,1.1548,1.1742,1.162,1.1607,3117849.77,2021-03-23 13:00:00
1616508000,1.1456,1.1658,1.1611,1.1569,2145530.16,2021-03-23 14:00:00
1616511600,1.156,1.1667,1.1572,1.1575,2165261.02,2021-03-23 15:00:00
1616515200,1.1467,1.1672,1.1576,1.1556,2769965.89,2021-03-23 16:00:00
1616518800,1.1454,1.1633,1.1567,1.1517,1898098.69,2021-03-23 17:00:00
1616522400,1.1374,1.1562,1.1528,1.138,2043574.19,2021-03-23 18:00:00
1616526000,1.1155,1.1442,1.1386,1.1266,2248940.39,2021-03-23 19:00:00
1616529600,1.105,1.1285,1.1277,1.1113,2752596.17,2021-03-23 20:00:00
1616533200,1.1,1.1183,1.1112,1.1148,2537585.03,2021-03-23 21:00:00
1616536800,1.1123,1.1363,1.1151,1.1204,2742303.44,2021-03-23 22:00:00
1616540400,1.1153,1.1363,1.1217,1.1178,2071099.69,2021-03-23 23:00:00
1616544000,1.0989,1.124,1.1175,1.1029,3134900.81,2021-03-24 00:00:00
1616547600,1.0941,1.12,1.1025,1.1154,2502144.74,2021-03-24 01:00:00
1616551200,1.108,1.1192,1.1156,1.1133,1932339.86,2021-03-24 02:00:00
1616554800,1.105,1.1169,1.1132,1.1079,1696701.9,2021-03-24 03:00:00
1616558400,1.105,1.1212,1.1081,1.1113,1329542.28,2021-03-24 04:00:00
1616562000,1.1037,1.1198,1.1105,1.1135,1553518.44,2021-03-24 05:00:00
1616565600,1.1051,1.134,1.1126,1.1274,1682878.34,2021-03-24 06:00:00
1616569200,1.1267,1.1425,1.1279,1.1415,1398661.88,2021-03-24 07:00:00
1616572800,1.1396,1.1576,1.1419,1.1468,1971477.4,2021-03-24 08:00:00
1616576400,1.1479,1.16,1.1479,1.1533,1250744.29,2021-03-24 09:00:00
1616580000,1.143,1.1578,1.1535,1.1516,2071268.2,2021-03-24 10:00:00
1616583600,1.1463,1.1545,1.1526,1.1501,1359900.58,2021-03-24 11:00:00
1616587200,1.1491,1.1686,1.1498,1.1617,3096648.55,2021-03-24 12:00:00
1616590800,1.146,1.1654,1.1611,1.1508,1832958.95,2021-03-24 13:00:00
1616594400,1.1372,1.1553,1.1511,1.1392,1737857.18,2021-03-24 14:00:00
1616598000,1.1265,1.1464,1.1388,1.1413,2115633.45,2021-03-24 15:00:00
1616601600,1.1268,1.1449,1.1413,1.1296,1945412.88,2021-03-24 16:00:00
1616605200,1.125,1.1361,1.1287,1.1307,1859958.45,2021-03-24 17:00:00
1616608800,1.1167,1.1348,1.1304,1.1168,2276310.28,2021-03-24 18:00:00
1616612400,1.1003,1.1245,1.1176,1.1061,3146012.66,2021-03-24 19:00:00
1616616000,1.09,1.1199,1.105,1.1113,4164894.32,2021-03-24 20:00:00
