start,low,high,open,close,volume,timestamp
1561651200,2.25,2.80099,2.80099,2.3809,18267.81,2019-06-27 16:00:00
1561654800,2.2,2.78,2.35,2.39,66843.27,2019-06-27 17:00:00
1561658400,2.2,2.61,2.6,2.3389,67810.38,2019-06-27 18:00:00
1561662000,2.185,2.3389,2.3389,2.259,24324.88,2019-06-27 19:00:00
1561665600,2.05,2.25,2.23901,2.22,37077.23,2019-06-27 20:00:00
1561669200,2.22,2.332,2.22,2.31998,43841.77,2019-06-27 21:00:00
1561672800,2.21601,2.34,2.28101,2.3,39928.38,2019-06-27 22:00:00
1561676400,2.26,2.33498,2.31,2.3198,10090.05,2019-06-27 23:00:00
1561680000,2.3,2.389,2.3198,2.33998,11511.46,2019-06-28 00:00:00
1561683600,2.21,2.33998,2.33998,2.26,20881.96,2019-06-28 01:00:00
1561687200,2.21003,2.30998,2.29999,2.226,23672.75,2019-06-28 02:00:00
1561690800,2.2093,2.262,2.26199,2.26098,5238.36,2019-06-28 03:00:00
1561694400,2.25,2.298,2.25,2.298,5847.42,2019-06-28 04:00:00
1561698000,2.2,2.298,2.297,2.255,6489.34,2019-06-28 05:00:00
1561701600,2.28499,2.35,2.28499,2.34,5097.45,2019-06-28 06:00:00
1561705200,2.2,2.8,2.34,2.26,67628.0,2019-06-28 07:00:00
1561708800,2.26002,2.4,2.28,2.34624,2090.34,2019-06-28 08:00:00
1561712400,2.255,2.34488,2.28,2.3,4536.75,2019-06-28 09:00:00
1561716000,2.256,2.30907,2.2612,2.26,2886.4,2019-06-28 10:00:00
1561719600,2.255,2.33499,2.269,2.33499,22256.47,2019-06-28 11:00:00
1561723200,2.255,2.319,2.285,2.29,15244.89,2019-06-28 12:00:00
1561726800,2.24,2.3069,2.28998,2.27001,9936.58,2019-06-28 13:00:00
1561730400,2.25081,2.29992,2.285,2.27,4782.49,2019-06-28 14:00:00
1561734000,2.25084,2.5,2.28999,2.5,58965.43,2019-06-28 15:00:00
1561737600,2.3805,2.7,2.46997,2.7,172299.6,2019-06-28 16:00:00
1561741200,2.55,3.6,2.7,2.69,1137063.2,2019-06-28 17:00:00
1561744800,2.61599,2.949,2.68999,2.65885,600239.15,2019-06-28 18:00:00
1561748400,2.62,3.09989,2.65833,3.045,496417.65,2019-06-28 19:00:00
1561752000,2.67,3.31,3.045,2.92581,899758.7,2019-06-28 20:00:00
1561755600,2.9,3.078,2.92581,2.97494,779411.82,2019-06-28 21:00:00
1561759200,2.8,2.991,2.95,2.905,460003.64,2019-06-28 22:00:00
1561762800,2.90501,3.22,2.95776,3.18477,601794.77,2019-06-28 23:00:00
1561766400,2.978,3.25,3.18398,3.25,627783.21,2019-06-29 00:00:00
1561770000,3.119,3.57867,3.22,3.38982,1460227.07,2019-06-29 01:00:00
1561773600,3.35,4.4,3.38982,4.30001,1952020.85,2019-06-29 02:00:00
1561777200,3.4,5.1,4.39999,3.54,3269146.27,2019-06-29 03:00:00
1561780800,2.92001,3.55898,3.52221,3.46998,1876892.66,2019-06-29 04:00:00
1561784400,3.16,3.53341,3.46998,3.28875,591040.65,2019-06-29 05:00:00
1561788000,3.2,3.457,3.28874,3.38,353136.88,2019-06-29 06:00:00
1561791600,3.31333,3.53,3.35202,3.53,240678.6,2019-06-29 07:00:00
1561795200,3.5012,3.7475,3.53,3.71949,465476.87,2019-06-29 08:00:00
1561798800,3.5086,3.75,3.7,3.59284,371669.71,2019-06-29 09:00:00
1561802400,3.28,3.64998,3.55573,3.49202,285035.51,2019-06-29 10:00:00
1561806000,3.35,3.64995,3.64,3.51225,296766.26,2019-06-29 11:00:00
1561809600,3.47001,3.7,3.50654,3.60747,448552.67,2019-06-29 12:00:00
1561813200,3.58,4.81409,3.60747,4.04997,2581043.23,2019-06-29 13:00:00
1561816800,3.83,4.7,3.95033,4.17316,2191544.0,2019-06-29 14:00:00
1561820400,4.032,4.26,4.17999,4.19,985451.74,2019-06-29 15:00:00
1561824000,4.14145,4.65,4.19,4.45831,2246621.65,2019-06-29 16:00:00
1561827600,4.13,4.5,4.45687,4.17019,1313108.89,2019-06-29 17:00:00
1561831200,4.053,4.39,4.17019,4.28,1004557.23,2019-06-29 18:00:00
1561834800,4.17238,4.39,4.27992,4.25,523096.48,2019-06-29 19:00:00
1561838400,4.16,4.5,4.24999,4.35,837926.95,2019-06-29 20:00:00
1561842000,4.15,4.35455,4.35,4.19629,563308.78,2019-06-29 21:00:00
1561845600,4.161,4.32,4.18006,4.208,502995.32,2019-06-29 22:00:00
1561849200,3.7,4.27,4.208,3.80122,1573679.37,2019-06-29 23:00:00
1561852800,3.80122,4.08998,3.84892,3.949,892501.3,2019-06-30 00:00:00
