start,low,high,open,close,volume,timestamp
1623945600,39.536,40.5,40.5,39.668,33938.674,2021-06-17 16:00:00
1623949200,38.219,39.761,39.64,38.455,31493.575,2021-06-17 17:00:00
1623952800,38.379,39.234,38.379,38.95,52603.735,2021-06-17 18:00:00
1623956400,38.846,39.507,38.958,39.278,19163.631,2021-06-17 19:00:00
1623960000,38.555,39.55,39.188,39.254,9541.81,2021-06-17 20:00:00
1623963600,38.864,39.64,39.243,39.168,19598.976,2021-06-17 21:00:00
1623967200,38.69,39.2,39.173,39.195,19049.798,2021-06-17 22:00:00
1623970800,38.953,39.541,39.195,39.25,16727.755,2021-06-17 23:00:00
1623974400,38.801,39.369,39.321,38.905,16341.507,2021-06-18 00:00:00
1623978000,38.52,38.971,38.907,38.783,14546.78,2021-06-18 01:00:00
1623981600,38.291,38.99,38.739,38.871,14299.487,2021-06-18 02:00:00
1623985200,38.768,39.407,38.871,39.237,22210.638,2021-06-18 03:00:00
1623988800,38.89,39.361,39.237,39.239,15130.03,2021-06-18 04:00:00
1623992400,38.81,39.45,39.247,38.96,11060.11,2021-06-18 05:00:00
1623996000,38.597,39.12,38.975,38.597,5988.358,2021-06-18 06:00:00
1623999600,38.61,39.14,38.717,39.042,5170.425,2021-06-18 07:00:00
1624003200,38.839,39.184,39.072,39.051,5548.077,2021-06-18 08:00:00
1624006800,38.19,39.162,39.14,38.228,5369.429,2021-06-18 09:00:00
1624010400,37.85,38.589,38.184,38.577,18863.332,2021-06-18 10:00:00
1624014000,38.11,38.782,38.517,38.28,16228.055,2021-06-18 11:00:00
1624017600,37.226,38.342,38.281,37.47,32857.375,2021-06-18 12:00:00
1624021200,36.647,37.763,37.47,37.069,28176.85,2021-06-18 13:00:00
1624024800,36.1,37.215,37.069,36.378,21086.403,2021-06-18 14:00:00
1624028400,35.5,36.626,36.363,35.617,56270.124,2021-06-18 15:00:00
1624032000,35.528,36.852,35.542,36.449,29583.758,2021-06-18 16:00:00
1624035600,35.73,36.533,36.449,35.791,26627.446,2021-06-18 17:00:00
1624039200,35.0,35.937,35.777,35.591,26536.247,2021-06-18 18:00:00
1624042800,35.35,36.118,35.613,35.35,23242.625,2021-06-18 19:00:00
1624046400,35.365,36.906,35.403,36.494,21488.428,2021-06-18 20:00:00
1624050000,36.213,36.903,36.442,36.852,20251.873,2021-06-18 21:00:00
1624053600,36.1,36.866,36.855,36.542,18811.829,2021-06-18 22:00:00
1624057200,36.22,36.878,36.542,36.842,15672.526,2021-06-18 23:00:00
1624060800,36.658,37.322,36.875,36.906,18788.844,2021-06-19 00:00:00
1624064400,36.801,37.361,36.906,37.039,18440.132,2021-06-19 01:00:00
1624068000,36.1,37.179,37.039,36.271,13173.832,2021-06-19 02:00:00
1624071600,35.05,36.349,36.271,35.745,22537.607,2021-06-19 03:00:00
1624075200,35.356,35.983,35.705,35.699,10657.583,2021-06-19 04:00:00
1624078800,35.699,36.222,35.699,36.158,7913.648,2021-06-19 05:00:00
1624082400,36.058,36.433,36.127,36.292,3641.148,2021-06-19 06:00:00
1624086000,35.801,36.39,36.298,36.39,2642.87,2021-06-19 07:00:00
1624089600,36.043,36.396,36.368,36.287,1200.832,2021-06-19 08:00:00
1624093200,35.826,36.418,36.311,35.984,2306.915,2021-06-19 09:00:00
1624096800,35.825,36.246,35.975,36.022,3368.232,2021-06-19 10:00:00
1624100400,36.028,36.456,36.028,36.337,8312.037,2021-06-19 11:00:00
1624104000,35.897,36.989,36.292,36.251,12352.974,2021-06-19 12:00:00
1624107600,35.88,36.339,36.229,36.085,12038.442,2021-06-19 13:00:00
1624111200,36.016,36.52,36.09,36.47,19337.861,2021-06-19 14:00:00
1624114800,35.947,36.529,36.47,36.347,18515.114,2021-06-19 15:00:00
1624118400,35.855,36.43,36.398,36.025,7233.25,2021-06-19 16:00:00
1624122000,35.63,36.063,36.025,35.73,11783.441,2021-06-19 17:00:00
1624125600,34.977,35.73,35.693,35.405,19935.031,2021-06-19 18:00:00
1624129200,35.254,35.947,35.405,35.609,11859.568,2021-06-19 19:00:00
1624132800,35.342,35.809,35.617,35.712,10978.58,2021-06-19 20:00:00
1624136400,35.64,36.01,35.712,35.819,11141.356,2021-06-19 21:00:00
1624140000,35.201,35.836,35.819,35.593,7386.194,2021-06-19 22:00:00
1624143600,35.14,35.815,35.609,35.2,7457.124,2021-06-19 23:00:00
1624147200,34.349,35.381,35.2,35.032,12708.446,2021-06-20 00:00:00
1624150800,34.821,35.257,35.031,35.121,6315.948,2021-06-20 01:00:00
1624154400,34.5,35.106,35.102,34.999,10389.279,2021-06-20 02:00:00
1624158000,34.738,35.25,34.999,34.95,10004.808,2021-06-20 03:00:00
1624161600,34.907,35.498,34.942,35.435,9333.053,2021-06-20 04:00:00
1624165200,35.361,35.645,35.488,35.514,5576.643,2021-06-20 05:00:00
1624168800,35.221,35.598,35.57,35.271,3187.787,2021-06-20 06:00:00
1624172400,35.0,35.511,35.357,35.378,1500.528,2021-06-20 07:00:00
1624176000,34.898,35.355,35.355,35.012,715.114,2021-06-20 08:00:00
1624179600,34.5,35.115,35.1,34.525,2153.207,2021-06-20 09:00:00
1624183200,32.67,34.589,34.5,33.103,21745.391,2021-06-20 10:00:00
1624186800,32.25,33.382,33.05,32.566,13785.501,2021-06-20 11:00:00
1624190400,31.324,33.125,32.5,32.949,39247.995,2021-06-20 12:00:00
1624194000,32.62,33.567,32.949,32.72,17455.108,2021-06-20 13:00:00
1624197600,32.241,33.418,32.65,33.411,13853.668,2021-06-20 14:00:00
1624201200,33.33,34.527,33.456,33.797,13023.792,2021-06-20 15:00:00
1624204800,33.55,34.424,33.788,33.8,7709.213,2021-06-20 16:00:00
1624208400,33.505,34.244,33.904,33.757,19671.137,2021-06-20 17:00:00
1624212000,33.658,34.426,33.791,34.426,17509.479,2021-06-20 18:00:00
1624215600,34.241,35.387,34.443,34.977,15778.531,2021-06-20 19:00:00
1624219200,34.965,35.942,35.114,35.822,14998.376,2021-06-20 20:00:00
1624222800,35.028,35.954,35.784,35.087,11214.99,2021-06-20 21:00:00
